topic,index
2,0
6,1
4,2
0,3
4,4
3,5
0,6
3,7
0,8
3,9
2,10
0,11
0,12
6,13
7,14
4,15
0,16
0,17
0,18
0,19
0,20
8,21
6,22
0,23
0,24
0,25
0,26
0,27
6,28
6,29
8,30
7,31
0,32
0,33
0,34
6,35
0,36
0,37
0,38
0,39
7,40
5,41
0,42
0,43
2,44
5,45
8,46
0,47
7,48
0,49
3,50
0,51
0,52
6,53
0,54
0,55
0,56
5,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
1,65
0,66
0,67
0,68
1,69
2,70
7,71
1,72
0,73
0,74
7,75
0,76
0,77
7,78
0,79
8,80
8,81
0,82
0,83
1,84
8,85
8,86
8,87
0,88
3,89
6,90
2,91
2,92
2,93
0,94
0,95
0,96
4,97
3,98
7,99
8,100
0,101
2,102
3,103
5,104
7,105
1,106
0,107
2,108
0,109
5,110
0,111
0,112
5,113
3,114
0,115
4,116
5,117
4,118
7,119
7,120
8,121
8,122
8,123
6,124
8,125
8,126
1,127
7,128
4,129
4,130
5,131
0,132
8,133
0,134
0,135
7,136
5,137
0,138
0,139
0,140
0,141
1,142
0,143
3,144
0,145
0,146
0,147
4,148
2,149
0,150
1,151
2,152
0,153
0,154
3,155
6,156
1,157
0,158
4,159
0,160
3,161
0,162
0,163
0,164
3,165
0,166
0,167
0,168
8,169
6,170
0,171
0,172
0,173
0,174
0,175
8,176
2,177
0,178
6,179
0,180
3,181
0,182
4,183
2,184
4,185
2,186
8,187
3,188
0,189
0,190
0,191
0,192
4,193
0,194
0,195
2,196
0,197
0,198
0,199
0,200
0,201
1,202
7,203
2,204
0,205
0,206
0,207
2,208
0,209
1,210
5,211
0,212
0,213
0,214
2,215
3,216
0,217
0,218
0,219
3,220
0,221
8,222
0,223
0,224
0,225
3,226
4,227
1,228
5,229
7,230
5,231
6,232
7,233
0,234
4,235
6,236
0,237
0,238
3,239
0,240
5,241
0,242
0,243
2,244
5,245
0,246
3,247
0,248
4,249
0,250
7,251
0,252
0,253
0,254
0,255
0,256
0,257
4,258
0,259
0,260
0,261
0,262
3,263
0,264
2,265
7,266
0,267
0,268
3,269
3,270
4,271
0,272
0,273
3,274
3,275
7,276
0,277
2,278
3,279
0,280
5,281
0,282
4,283
0,284
0,285
0,286
7,287
4,288
0,289
0,290
0,291
7,292
0,293
6,294
4,295
0,296
0,297
0,298
0,299
0,300
0,301
6,302
0,303
0,304
2,305
8,306
7,307
1,308
2,309
1,310
0,311
4,312
0,313
0,314
2,315
2,316
4,317
3,318
3,319
2,320
0,321
0,322
8,323
8,324
0,325
0,326
0,327
4,328
2,329
0,330
0,331
7,332
2,333
0,334
0,335
7,336
1,337
8,338
0,339
4,340
1,341
0,342
0,343
0,344
4,345
6,346
4,347
0,348
0,349
8,350
2,351
4,352
0,353
0,354
0,355
5,356
6,357
0,358
3,359
0,360
1,361
0,362
4,363
0,364
8,365
0,366
0,367
4,368
8,369
4,370
4,371
0,372
0,373
0,374
0,375
0,376
7,377
0,378
5,379
6,380
0,381
0,382
0,383
8,384
1,385
7,386
0,387
0,388
3,389
0,390
4,391
0,392
0,393
3,394
0,395
0,396
0,397
7,398
0,399
5,400
0,401
0,402
0,403
6,404
4,405
4,406
0,407
2,408
0,409
0,410
4,411
2,412
2,413
0,414
6,415
0,416
8,417
0,418
0,419
8,420
6,421
1,422
0,423
0,424
0,425
8,426
1,427
5,428
0,429
2,430
0,431
8,432
0,433
0,434
0,435
4,436
8,437
7,438
0,439
0,440
8,441
2,442
0,443
8,444
2,445
0,446
0,447
2,448
0,449
0,450
2,451
7,452
0,453
1,454
0,455
2,456
2,457
3,458
2,459
0,460
2,461
0,462
0,463
8,464
0,465
0,466
0,467
0,468
0,469
3,470
0,471
0,472
0,473
0,474
4,475
0,476
0,477
0,478
8,479
0,480
3,481
2,482
0,483
5,484
6,485
1,486
4,487
3,488
0,489
5,490
4,491
4,492
2,493
2,494
8,495
0,496
0,497
0,498
0,499
8,500
7,501
0,502
3,503
0,504
8,505
0,506
0,507
0,508
0,509
0,510
0,511
6,512
8,513
0,514
0,515
0,516
1,517
3,518
0,519
0,520
0,521
0,522
0,523
6,524
2,525
0,526
0,527
0,528
0,529
0,530
0,531
0,532
2,533
0,534
1,535
4,536
3,537
0,538
4,539
3,540
4,541
0,542
5,543
8,544
0,545
0,546
1,547
6,548
0,549
0,550
5,551
0,552
7,553
4,554
0,555
0,556
0,557
2,558
0,559
0,560
5,561
3,562
0,563
3,564
0,565
3,566
0,567
5,568
1,569
0,570
0,571
0,572
2,573
0,574
0,575
0,576
4,577
0,578
0,579
8,580
7,581
0,582
7,583
2,584
7,585
0,586
0,587
0,588
0,589
0,590
4,591
6,592
8,593
0,594
8,595
0,596
6,597
0,598
0,599
1,600
0,601
8,602
6,603
2,604
0,605
0,606
8,607
0,608
2,609
0,610
2,611
0,612
0,613
0,614
2,615
1,616
0,617
8,618
0,619
0,620
7,621
0,622
0,623
2,624
4,625
0,626
6,627
0,628
0,629
0,630
4,631
2,632
0,633
5,634
4,635
1,636
0,637
0,638
0,639
2,640
8,641
0,642
2,643
0,644
4,645
0,646
0,647
0,648
0,649
0,650
0,651
2,652
3,653
0,654
0,655
0,656
0,657
0,658
3,659
3,660
4,661
0,662
6,663
0,664
0,665
4,666
0,667
1,668
0,669
5,670
0,671
5,672
8,673
0,674
0,675
3,676
1,677
7,678
0,679
5,680
5,681
5,682
8,683
0,684
0,685
0,686
6,687
0,688
2,689
0,690
0,691
0,692
0,693
0,694
0,695
0,696
2,697
0,698
0,699
2,700
0,701
0,702
8,703
0,704
0,705
2,706
2,707
1,708
0,709
0,710
1,711
0,712
1,713
8,714
0,715
0,716
0,717
1,718
5,719
0,720
0,721
4,722
0,723
0,724
0,725
7,726
0,727
0,728
0,729
2,730
4,731
5,732
7,733
4,734
0,735
0,736
6,737
8,738
0,739
6,740
0,741
0,742
8,743
0,744
7,745
3,746
0,747
0,748
2,749
4,750
5,751
0,752
0,753
0,754
0,755
0,756
0,757
7,758
0,759
4,760
8,761
0,762
3,763
0,764
0,765
3,766
7,767
0,768
0,769
4,770
5,771
4,772
3,773
2,774
0,775
0,776
0,777
5,778
2,779
0,780
0,781
1,782
0,783
2,784
2,785
0,786
4,787
0,788
0,789
0,790
7,791
5,792
0,793
0,794
0,795
0,796
0,797
0,798
2,799
0,800
2,801
1,802
0,803
0,804
5,805
0,806
4,807
1,808
5,809
2,810
3,811
0,812
0,813
3,814
2,815
0,816
2,817
7,818
0,819
4,820
7,821
0,822
7,823
1,824
0,825
5,826
2,827
5,828
3,829
0,830
1,831
3,832
0,833
5,834
0,835
0,836
0,837
0,838
2,839
8,840
0,841
5,842
5,843
1,844
1,845
0,846
4,847
0,848
5,849
0,850
4,851
0,852
5,853
4,854
0,855
2,856
1,857
5,858
5,859
7,860
0,861
0,862
0,863
2,864
8,865
8,866
4,867
6,868
4,869
2,870
7,871
4,872
0,873
8,874
0,875
4,876
6,877
0,878
0,879
1,880
1,881
4,882
0,883
7,884
0,885
2,886
8,887
0,888
6,889
2,890
0,891
0,892
0,893
0,894
4,895
0,896
0,897
5,898
0,899
0,900
8,901
8,902
0,903
3,904
0,905
2,906
5,907
4,908
5,909
0,910
0,911
0,912
7,913
0,914
1,915
3,916
2,917
0,918
4,919
6,920
8,921
4,922
0,923
3,924
0,925
0,926
0,927
4,928
4,929
0,930
2,931
0,932
0,933
3,934
2,935
2,936
0,937
0,938
1,939
0,940
0,941
0,942
0,943
0,944
0,945
1,946
2,947
0,948
0,949
0,950
6,951
8,952
0,953
2,954
3,955
7,956
0,957
0,958
0,959
0,960
4,961
2,962
0,963
3,964
0,965
0,966
0,967
0,968
5,969
5,970
0,971
0,972
0,973
0,974
0,975
0,976
6,977
0,978
0,979
0,980
0,981
8,982
0,983
4,984
7,985
0,986
0,987
7,988
0,989
0,990
0,991
0,992
0,993
8,994
0,995
5,996
0,997
7,998
0,999
8,1000
0,1001
8,1002
0,1003
4,1004
0,1005
5,1006
7,1007
0,1008
0,1009
5,1010
0,1011
2,1012
1,1013
0,1014
4,1015
0,1016
0,1017
5,1018
6,1019
4,1020
0,1021
3,1022
2,1023
6,1024
8,1025
0,1026
8,1027
0,1028
0,1029
6,1030
4,1031
0,1032
0,1033
5,1034
0,1035
0,1036
0,1037
7,1038
2,1039
6,1040
0,1041
0,1042
6,1043
2,1044
0,1045
0,1046
2,1047
5,1048
7,1049
0,1050
1,1051
8,1052
6,1053
4,1054
4,1055
1,1056
0,1057
5,1058
4,1059
0,1060
0,1061
8,1062
0,1063
2,1064
0,1065
2,1066
1,1067
0,1068
2,1069
6,1070
4,1071
4,1072
5,1073
6,1074
0,1075
0,1076
0,1077
6,1078
0,1079
0,1080
2,1081
0,1082
0,1083
4,1084
0,1085
1,1086
8,1087
3,1088
0,1089
0,1090
1,1091
0,1092
0,1093
8,1094
0,1095
0,1096
4,1097
0,1098
8,1099
8,1100
0,1101
2,1102
0,1103
8,1104
2,1105
0,1106
8,1107
8,1108
0,1109
5,1110
0,1111
6,1112
0,1113
0,1114
4,1115
0,1116
2,1117
4,1118
8,1119
0,1120
0,1121
8,1122
0,1123
6,1124
0,1125
4,1126
0,1127
3,1128
0,1129
0,1130
5,1131
0,1132
0,1133
4,1134
8,1135
2,1136
7,1137
6,1138
0,1139
2,1140
0,1141
8,1142
2,1143
5,1144
0,1145
1,1146
0,1147
0,1148
2,1149
4,1150
0,1151
0,1152
0,1153
3,1154
0,1155
1,1156
5,1157
2,1158
3,1159
0,1160
5,1161
0,1162
0,1163
0,1164
1,1165
0,1166
0,1167
0,1168
0,1169
0,1170
4,1171
0,1172
2,1173
0,1174
2,1175
0,1176
0,1177
0,1178
6,1179
0,1180
5,1181
5,1182
6,1183
0,1184
8,1185
6,1186
2,1187
0,1188
5,1189
3,1190
7,1191
0,1192
0,1193
1,1194
0,1195
0,1196
0,1197
3,1198
4,1199
8,1200
0,1201
8,1202
4,1203
0,1204
0,1205
5,1206
0,1207
3,1208
0,1209
0,1210
4,1211
4,1212
0,1213
6,1214
1,1215
7,1216
5,1217
0,1218
0,1219
6,1220
0,1221
0,1222
5,1223
0,1224
7,1225
2,1226
8,1227
1,1228
5,1229
0,1230
0,1231
5,1232
0,1233
4,1234
0,1235
0,1236
4,1237
7,1238
0,1239
0,1240
2,1241
3,1242
7,1243
2,1244
8,1245
0,1246
0,1247
0,1248
0,1249
6,1250
6,1251
0,1252
7,1253
0,1254
0,1255
5,1256
6,1257
5,1258
2,1259
4,1260
0,1261
4,1262
2,1263
0,1264
5,1265
1,1266
7,1267
2,1268
0,1269
2,1270
7,1271
0,1272
0,1273
0,1274
0,1275
0,1276
0,1277
4,1278
0,1279
4,1280
4,1281
0,1282
0,1283
0,1284
0,1285
0,1286
0,1287
0,1288
3,1289
4,1290
8,1291
0,1292
0,1293
2,1294
1,1295
0,1296
0,1297
5,1298
7,1299
0,1300
0,1301
0,1302
2,1303
8,1304
0,1305
6,1306
0,1307
0,1308
0,1309
0,1310
3,1311
3,1312
0,1313
3,1314
6,1315
0,1316
3,1317
0,1318
0,1319
0,1320
0,1321
2,1322
0,1323
0,1324
0,1325
4,1326
5,1327
4,1328
0,1329
0,1330
8,1331
0,1332
0,1333
6,1334
2,1335
0,1336
0,1337
3,1338
0,1339
0,1340
0,1341
3,1342
7,1343
0,1344
6,1345
0,1346
5,1347
0,1348
0,1349
0,1350
0,1351
4,1352
0,1353
0,1354
0,1355
0,1356
0,1357
0,1358
8,1359
0,1360
0,1361
4,1362
0,1363
0,1364
0,1365
0,1366
0,1367
0,1368
0,1369
0,1370
8,1371
0,1372
2,1373
0,1374
0,1375
0,1376
8,1377
2,1378
5,1379
0,1380
0,1381
0,1382
5,1383
6,1384
0,1385
0,1386
4,1387
0,1388
5,1389
8,1390
3,1391
8,1392
0,1393
5,1394
0,1395
1,1396
0,1397
0,1398
4,1399
0,1400
8,1401
0,1402
0,1403
6,1404
0,1405
0,1406
0,1407
1,1408
4,1409
0,1410
0,1411
0,1412
4,1413
4,1414
2,1415
4,1416
4,1417
0,1418
2,1419
0,1420
0,1421
6,1422
2,1423
0,1424
0,1425
0,1426
5,1427
5,1428
0,1429
0,1430
4,1431
